Student Name,Course ID,Student ID,Enrollment Number,Year,Course Name,Duration (Years),Branch,Specialization,Total Fees (Per Annum),Yearly Fees,Exam Fees,Extra Fees,Hostel Accommodation,Occupancy,City,State,Country,Email,Phone,Payment Mode,12th Percentage,10th Percentage,Hostel Room Type,Annual Income,Date of Birth
Umang Tata,BTechCSE213,STU213,ENR213,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Double Occupancy,Mumbai,Maharashtra,India,kiara55@example.net,9.18664E+11,UPI,64,81,Non-AC,246105,23/06/2002
Miraya Chada,BTechCSE214,STU214,ENR214,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Jaipur,Rajasthan,India,bverma@example.com,9.18321E+11,Cash,82,68,AC,357495,01/10/2000
Shray Kanda,BTechCSE215,STU215,ENR215,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Single Occupancy,Chennai,Tamil Nadu,India,samaira15@example.net,9.19449E+11,Cheque,88,74,AC,114032,11/05/2004
Kimaya Aggarwal,BTechCSE216,STU216,ENR216,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,fzachariah@example.com,9.17215E+11,Cash,87,68,AC,199168,10/07/2005
Shray Sunder,BTechCSE217,STU217,ENR217,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Chennai,Tamil Nadu,India,arhaanray@example.net,9.18146E+11,DD,89,62,Non-AC,525750,02/10/2005
Ryan Kannan,BTechCSE218,STU218,ENR218,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Ahmedabad,Gujarat,India,yuvaan49@example.net,9.17359E+11,Cash,64,73,Non-AC,377162,01/08/2002
Veer Rattan,BTechCSE219,STU219,ENR219,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,bhattojas@example.org,9.17931E+11,Cash,63,81,Non-AC,436308,13/02/2004
Ishaan Din,BTechCSE220,STU220,ENR220,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,siyagaba@example.org,9.19878E+11,UPI,63,87,AC,587464,10/02/2006
Romil Batta,BTechCSE221,STU221,ENR221,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Single Occupancy,Mumbai,Maharashtra,India,kaira87@example.net,9.17349E+11,UPI,62,81,Non-AC,446038,29/11/2003
Umang Subramaniam,BTechCSE222,STU222,ENR222,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,dishani28@example.net,9.1894E+11,Cheque,76,73,AC,258414,11/05/2004
Keya Solanki,BTechCSE223,STU223,ENR223,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Triple Occupancy,Bengaluru,Karnataka,India,kismatreddy@example.com,9.18874E+11,Cheque,70,84,Non-AC,394507,08/03/2002
Anaya Babu,BTechCSE224,STU224,ENR224,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,shray27@example.org,9.17508E+11,RTGS,60,76,AC,244773,09/03/2005
Trisha Sawhney,BTechCSE225,STU225,ENR225,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Double Occupancy,Ahmedabad,Gujarat,India,aainakapoor@example.com,9.1891E+11,DD,72,82,Non-AC,460103,23/06/2003
Yuvaan Tata,BTechCSE226,STU226,ENR226,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Triple Occupancy,Hyderabad,Telangana,India,samar92@example.com,9.18933E+11,Cheque,72,68,AC,573132,06/03/2003
Charvi Sahni,BTechCSE227,STU227,ENR227,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Bengaluru,Karnataka,India,hunarcheema@example.com,9.1988E+11,RTGS,87,75,AC,767168,26/09/2005
Zaina Dugal,BTechCSE228,STU228,ENR228,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,vedika34@example.com,9.18558E+11,Cheque,86,71,Non-AC,686510,12/01/2005
Ritvik Keer,BTechCSE229,STU229,ENR229,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,shroffsamaira@example.com,9.17198E+11,UPI,83,78,AC,444994,13/12/2005
Prerak Kata,BTechCSE230,STU230,ENR230,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,lakshitkoshy@example.net,9.1759E+11,DD,65,64,Non-AC,331590,02/02/2002
Kashvi Bhat,BTechCSE231,STU231,ENR231,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Kolkata,West Bengal,India,ukadakia@example.com,9.17325E+11,RTGS,86,90,Non-AC,566983,27/09/2001
Samarth Mahajan,BTechCSE232,STU232,ENR232,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,sara53@example.org,9.18975E+11,Cash,71,72,AC,437198,27/02/2002
Ira Batta,BTechCSE233,STU233,ENR233,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Double Occupancy,Pune,Maharashtra,India,dishani99@example.com,9.177E+11,Cheque,84,64,Non-AC,798056,20/04/2003
Dhanush Chopra,BTechCSE234,STU234,ENR234,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,fatehaurora@example.com,9.18504E+11,Cash,89,77,Non-AC,236024,31/03/2003
Azad Zachariah,BTechCSE235,STU235,ENR235,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Triple Occupancy,Ahmedabad,Gujarat,India,xkapoor@example.net,9.19007E+11,Cash,66,92,AC,744140,14/07/2003
Samiha Barad,BTechCSE236,STU236,ENR236,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,sulemanjari@example.net,9.17666E+11,Cash,65,90,Non-AC,384551,19/11/2002
Kismat Basak,BTechCSE237,STU237,ENR237,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Double Occupancy,Kolkata,West Bengal,India,nbalasubramanian@example.com,9.1868E+11,Cash,65,62,AC,264902,29/06/2001
Mannat Mani,BTechCSE238,STU238,ENR238,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,groverbaiju@example.org,9.18355E+11,RTGS,81,87,Non-AC,794083,30/06/2005
Inaaya  Bath,BTechCSE239,STU239,ENR239,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,taran52@example.net,9.17252E+11,Cash,82,64,Non-AC,246626,19/12/2001
Mohanlal Garg,BTechCSE240,STU240,ENR240,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Double Occupancy,Jaipur,Rajasthan,India,loyalaaryahi@example.com,9.17794E+11,RTGS,66,82,AC,548909,24/08/2001
Dharmajan Kumer,BTechCSE241,STU241,ENR241,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Double Occupancy,Pune,Maharashtra,India,sathelagan@example.com,9.18758E+11,UPI,83,61,AC,673977,16/06/2001
Vaibhav Sule,BTechCSE242,STU242,ENR242,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,dasaaryahi@example.com,9.17162E+11,RTGS,87,76,AC,626996,27/07/2005
Raghav Tella,BTechCSE243,STU243,ENR243,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,piyakrishnamurthy@example.org,9.17137E+11,UPI,85,92,AC,457323,06/06/2002
Aarush Balakrishnan,BTechCSE244,STU244,ENR244,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,hridaanbalay@example.com,9.19343E+11,UPI,88,75,AC,491214,08/01/2001
Sana Yadav,BTechCSE245,STU245,ENR245,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,lseshadri@example.net,9.19174E+11,RTGS,81,72,AC,121242,16/06/2006
Pari Lata,BTechCSE246,STU246,ENR246,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,nehmatgoyal@example.com,9.19776E+11,UPI,70,61,AC,690828,17/10/2002
Shamik Aggarwal,BTechCSE247,STU247,ENR247,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,neysa97@example.net,9.17784E+11,RTGS,80,86,Non-AC,778892,15/09/2001
Mohanlal Mandal,BTechCSE248,STU248,ENR248,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,anvidalal@example.com,9.18399E+11,RTGS,69,75,AC,110379,29/09/2005
Adira Bal,BTechCSE249,STU249,ENR249,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Pune,Maharashtra,India,skari@example.org,9.18949E+11,RTGS,62,89,AC,725960,17/09/2001
Vardaniya Mangal,BTechCSE250,STU250,ENR250,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,tarasaksham@example.com,9.18272E+11,Cheque,62,80,Non-AC,782240,11/06/2002
Mannat Varughese,BTechCSE251,STU251,ENR251,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,skapadia@example.org,9.19909E+11,DD,82,71,AC,773658,12/04/2002
Umang Bir,BTechCSE252,STU252,ENR252,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,kimayaswamy@example.org,9.19836E+11,Cheque,74,75,AC,595358,21/11/2000
Divyansh Wali,BTechCSE253,STU253,ENR253,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,shloktoor@example.net,9.19679E+11,DD,77,75,Non-AC,667375,08/07/2001
Mahika Mane,BTechCSE254,STU254,ENR254,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,tiyaanne@example.com,9.19287E+11,Cheque,72,66,AC,380903,15/08/2000
Seher Sahni,BTechCSE255,STU255,ENR255,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,tailordishani@example.com,9.17513E+11,DD,69,81,AC,232792,28/10/2002
Raghav Hayer,BTechCSE256,STU256,ENR256,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,tkhurana@example.net,9.18512E+11,UPI,90,89,Non-AC,331718,08/05/2006
Raghav Goyal,BTechCSE257,STU257,ENR257,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Hyderabad,Telangana,India,lvohra@example.org,9.17798E+11,Cheque,76,78,Non-AC,438078,15/04/2004
Ahana  Shere,BTechCSE258,STU258,ENR258,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Single Occupancy,Jaipur,Rajasthan,India,kurianjayant@example.net,9.1978E+11,Cheque,69,62,AC,769377,30/07/2004
Devansh Kapadia,BTechCSE259,STU259,ENR259,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,tara30@example.com,9.1797E+11,Cheque,64,82,Non-AC,190906,10/06/2001
Samar Sastry,BTechCSE260,STU260,ENR260,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Pune,Maharashtra,India,gollapiya@example.org,9.19724E+11,Cheque,73,92,AC,690553,13/08/2001
Shalv Mane,BTechCSE261,STU261,ENR261,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,mchana@example.net,9.17882E+11,DD,60,91,AC,560102,14/08/2002
Shamik Dixit,BTechCSE262,STU262,ENR262,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Pune,Maharashtra,India,ranbir88@example.org,9.18094E+11,RTGS,77,74,AC,201136,04/08/2000
Nirvi Wason,BTechCSE263,STU263,ENR263,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Jaipur,Rajasthan,India,zbumb@example.com,9.19759E+11,DD,82,85,AC,554630,08/11/2001
Amani Dada,BTechCSE264,STU264,ENR264,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,anvibora@example.org,9.18628E+11,Cheque,65,74,Non-AC,790648,05/12/2002
Yakshit Mani,BTechCSE265,STU265,ENR265,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,anya92@example.org,9.17991E+11,UPI,79,73,Non-AC,449203,20/04/2004
Kiara Ben,BTechCSE266,STU266,ENR266,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Ahmedabad,Gujarat,India,gardeaaryahi@example.net,9.17799E+11,RTGS,90,90,AC,754720,18/03/2002
Pihu Chad,BTechCSE267,STU267,ENR267,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Ahmedabad,Gujarat,India,inaaya-55@example.org,9.1847E+11,Cheque,63,69,AC,530583,01/06/2004
Jayan Boase,BTechCSE268,STU268,ENR268,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,gatikmadan@example.org,9.17734E+11,UPI,63,80,Non-AC,337523,07/08/2002
Mannat Konda,BTechCSE269,STU269,ENR269,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Chennai,Tamil Nadu,India,arnav76@example.org,9.1996E+11,UPI,87,69,Non-AC,309070,02/10/2005
Kartik Rajagopal,BTechCSE270,STU270,ENR270,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Bengaluru,Karnataka,India,varkeyishaan@example.org,9.18385E+11,RTGS,67,82,AC,679823,12/02/2004
Dhanush Gopal,BTechCSE271,STU271,ENR271,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Jaipur,Rajasthan,India,rramanathan@example.com,9.17539E+11,DD,72,92,AC,300600,15/04/2002
Nirvaan Krishna,BTechCSE272,STU272,ENR272,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,aarush63@example.com,9.1938E+11,DD,75,66,AC,633855,22/03/2003
Kabir Barad,BTechCSE273,STU273,ENR273,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,gargreyansh@example.net,9.19049E+11,RTGS,87,90,Non-AC,762677,21/06/2001
Hunar Khosla,BTechCSE274,STU274,ENR274,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Kolkata,West Bengal,India,divyanshvarughese@example.com,9.19393E+11,DD,84,80,Non-AC,424691,09/03/2002
Zeeshan Iyer,BTechCSE275,STU275,ENR275,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Delhi,Delhi,India,amani66@example.com,9.18289E+11,UPI,81,82,AC,402042,01/11/2000
Adira Reddy,BTechCSE276,STU276,ENR276,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,hchandra@example.net,9.19171E+11,Cheque,61,72,AC,161713,21/01/2005
Aarav Singhal,BTechCSE277,STU277,ENR277,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Double Occupancy,Hyderabad,Telangana,India,srandhawa@example.org,9.18828E+11,Cheque,88,68,Non-AC,361524,19/07/2003
Parinaaz Rau,BTechCSE278,STU278,ENR278,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,lakshit59@example.org,9.17165E+11,Cash,83,63,Non-AC,462017,26/06/2005
Yuvraj  Tripathi,BTechCSE279,STU279,ENR279,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Pune,Maharashtra,India,zseshadri@example.com,9.19275E+11,DD,68,68,AC,712113,04/06/2003
Dhanush Seth,BTechCSE280,STU280,ENR280,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Single Occupancy,Ahmedabad,Gujarat,India,bhaminikibe@example.net,9.19447E+11,Cheque,90,87,AC,608847,06/03/2005
Kismat Chanda,BTechCSE281,STU281,ENR281,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Chennai,Tamil Nadu,India,mvaidya@example.net,9.19921E+11,Cheque,66,78,Non-AC,259064,04/01/2003
Taimur Bal,BTechCSE282,STU282,ENR282,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,devanshsom@example.com,9.18436E+11,Cash,79,79,Non-AC,296019,03/10/2005
Shlok Konda,BTechCSE283,STU283,ENR283,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Double Occupancy,Lucknow,Uttar Pradesh,India,duaivana@example.org,9.1825E+11,DD,65,75,Non-AC,761888,12/12/2005
Kavya Dewan,BTechCSE284,STU284,ENR284,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Triple Occupancy,Kolkata,West Bengal,India,myra98@example.org,9.17776E+11,Cash,76,82,AC,594130,29/12/2003
Purab Ramanathan,BTechCSE285,STU285,ENR285,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Double Occupancy,Mumbai,Maharashtra,India,sanghatiya@example.org,9.1753E+11,Cash,65,63,Non-AC,357612,07/10/2003
Misha Sule,BTechCSE286,STU286,ENR286,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Double Occupancy,Delhi,Delhi,India,kundaojas@example.org,9.1821E+11,Cash,77,92,AC,643716,19/11/2003
Ishita Bhalla,BTechCSE287,STU287,ENR287,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Double Occupancy,Hyderabad,Telangana,India,karnitara@example.com,9.19985E+11,RTGS,83,68,Non-AC,294106,04/03/2002
Purab Dewan,BTechCSE288,STU288,ENR288,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Pune,Maharashtra,India,badalrama@example.net,9.19696E+11,DD,75,67,AC,230610,24/02/2006
Shanaya Bhatia,BTechCSE289,STU289,ENR289,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,renee52@example.net,9.17244E+11,Cash,84,82,Non-AC,565290,01/07/2001
Ishita Bhalla,BTechCSE290,STU290,ENR290,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,kabir77@example.org,9.19512E+11,RTGS,67,82,AC,133017,14/08/2001
Dhanuk Rajagopalan,BTechCSE291,STU291,ENR291,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,adira26@example.org,9.19617E+11,UPI,81,91,Non-AC,325440,27/02/2002
Suhana Sama,BTechCSE292,STU292,ENR292,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,nakulkrishna@example.net,9.17666E+11,UPI,86,75,AC,373258,16/07/2000
Eshani Yadav,BTechCSE293,STU293,ENR293,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,sanne@example.org,9.18166E+11,DD,80,88,Non-AC,117306,21/01/2006
Keya Jaggi,BTechCSE294,STU294,ENR294,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Triple Occupancy,Ahmedabad,Gujarat,India,arnav75@example.net,9.17139E+11,RTGS,85,87,Non-AC,365220,02/08/2001
Madhav Reddy,BTechCSE295,STU295,ENR295,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,vardaniyasethi@example.com,9.19084E+11,Cash,76,78,AC,192460,02/02/2001
Aarav Deshpande,BTechCSE296,STU296,ENR296,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,chirag88@example.com,9.17265E+11,Cheque,86,89,AC,432962,30/04/2002
Shalv Bhalla,BTechCSE297,STU297,ENR297,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Delhi,Delhi,India,vaibhavvarkey@example.net,9.18185E+11,Cash,83,74,AC,740813,26/10/2004
Emir Sachdev,BTechCSE298,STU298,ENR298,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,hroy@example.org,9.19355E+11,UPI,60,62,AC,444105,04/12/2003
Aniruddh Ray,BTechCSE299,STU299,ENR299,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Double Occupancy,Jaipur,Rajasthan,India,chakrabortyivan@example.com,9.18197E+11,Cheque,64,73,AC,578443,14/06/2004
Nirvaan Chaudhry,BTechCSE300,STU300,ENR300,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,dayalmyra@example.com,9.18578E+11,UPI,70,76,AC,692755,22/02/2004
Ritvik Sanghvi,BTechCSE301,STU301,ENR301,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,ndhar@example.net,9.1899E+11,DD,76,82,Non-AC,202404,25/11/2005
Jayesh Golla,BTechCSE302,STU302,ENR302,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Bengaluru,Karnataka,India,zachariaakarsh@example.com,9.19062E+11,Cheque,87,61,Non-AC,213722,07/07/2005
Myra Sinha,BTechCSE303,STU303,ENR303,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,uchandra@example.org,9.18794E+11,Cheque,89,74,Non-AC,377964,18/09/2001
Sumer Anne,BTechCSE304,STU304,ENR304,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,veerchar@example.com,9.19508E+11,UPI,82,90,Non-AC,302663,27/09/2002
